siteID,area_km2,openWater,developedOpenSpace,developedLowIntensity,developedMediumIntensity,barrenLand,deciduousForest,evergreenForest,mixedForest,grasslandHerbaceous,pastureHay,woodyWetlands,emergentHerbaceousWetlands,cultivatedCrops,developedHighIntensity,shrubScrub,perennialIceSnow,dwarfScrub,sedgeHerbaceous,seasonality
ARIK,2631.825475,0.03,2.09,0.06,0,0,0.03,0,0,41.83,2.64,0.15,0.27,51.48,0,1.41,0,0,0,30.80255482784608
BIGC,10.903133,0,0,0,0,0,0.24,92.69,0.78,0,0,0,0,0,0,6.25,0,0,0,25.70736926646464
BLDE,37.809812,0,0,0,0,0,0,1.03,0,60.63,0,0.56,1.93,0,0,35.85,0,0,0,30.01641608544925
BLUE,322.2316066,0.29,1.97,0.38,0.07,0.14,17.39,0.01,0,65.26,13.99,0,0,0.25,0.01,0.24,0,0,0,42.30416544175947
BLWA,16159.41077,2.15,5.61,2.3,0.73,0.35,28.27,16.51,12.64,3.6,17.24,5.34,0.27,0.64,0.32,4.04,0,0,0,29.319065509212223
CARI,31.023146,0,0,0,0,0,22.37,52.83,15.09,0,0,7.91,0,0,0,1.8,0,0,0,0.729003182397776
COMO,3.563638,0,0,0,0,0,0,66.46,0,11.99,0,0.28,0,0,0,21.27,0,0,0,7.738861701282544
CUPE,4.259466,0,0.7,0.7,0.24,0,0,97.97,0,0.8,0,0,0,0,0,0.14,0,0,0,25.73515403892559
FLNT,14999.4035,1.11,4.45,2.31,0.57,0.22,13.34,25.14,7.29,5.1,7.2,11.68,0.32,19.51,0.35,1.39,0,0,0,36.43537007658574
GUIL,9.558285407,0,0,0.38,0,0.06,0,89.18,0,9.78,0,0,0,0,0,0.61,0,0,0,39.34286989427037
HOPB,11.88641487,0.17,4.5,0.73,0.08,0.09,28.19,10.06,49.86,0.06,3.87,2.35,0.06,0,0,0,0,0,0,36.12682445408205
KING,13.044891,0,0,0,0,0,10.01,0,0,89.99,0,0,0,0,0,0,0,0,0,28.427085556916143
LECO,9.125005,0,1.75,0,0,0,36.16,10.42,51.68,0,0,0,0,0,0,0,0,0,0,46.43034940677049
LEWI,11.91884166,0,4.54,0.65,0.07,0,7.29,1.81,6.59,0,67.99,0,0.09,10.98,0,0,0,0,0,35.009627676175754
MART,6.343690435,0,3.37,2.28,0,0,0.23,92.17,0.11,0,0,0,0,0,0,1.83,0,0,0,21.453709241595305
MAYF,14.351144,0,2.68,0,0,0,37.4,37.85,18.94,0,0,1.93,0,0,0,1.17,0,0,0,37.06622599145109
MCDI,22.588127,0.31,1.87,0.29,0,0,3.17,0,0.1,73.18,8.04,0,0,13.02,0,0,0,0,0,0.3061003424708594
MCRA,3.929521,0,0,0,0,0,0,92.97,0,0.54,0,0,0,0,0,6.42,0,0,0,27.068257597576224
OKSR,57.779748,4.62,0,0.24,0,2.06,0,0,0,0,0,0,0.78,0,0,2.06,0.48,67.4,22.36,34.93175074025142
POSE,2.028762,0,2.16,0,0,0,91.95,0,3.42,0,2.21,0,0,0,0,0,0,0,0,1.3027597256968813
PRIN,48.886649,0.04,2.99,1.08,0.04,0.02,16.71,0,0,71.99,6.09,0,0,0.3,0,0.74,0,0,0,29.813160479887213
REDB,16.703218,0,0,0,0,0,77.79,10.35,0.37,0,0,0,0,0,0,11.47,0,0,0,27.14732249474897
SYCA,280.2636276,0,0.51,0.18,0.04,0.03,0,20.52,0,0.19,0,0.11,0.03,0,0.01,78.38,0,0,0,33.42731803216186
TECR,2.97483,0,0,0,0,0,0,97.25,0,0,0,0,0,0,0,2.75,0,0,0,24.767341689949333
TOMB,47085.34977,1.69,4.32,1.56,0.54,0.21,17.03,18.05,14.42,3.78,15.84,12.88,1.14,3.22,0.19,5.14,0,0,0,30.60287812550812
WALK,1.090706,0,0,0,0,0,99.86,0,0,0,0,0,0,0,0,0,0,0,0,30.41529837757256
WLOU,4.900315,0,2.22,0,0,0,0,93.32,0,1.88,0,0,0,0,0,2.47,0,0,0,33.08540039913244
